PrincipleComp1,PrincipleComp2,Cluster
1.644426597,-2.20744984,Cluster_3
1.663164244,-0.468780063,Cluster_3
2.96094855,-0.653081123,Cluster_3
2.96094855,-0.653081123,Cluster_3
3.280022867,-0.99565321,Cluster_3
3.280022867,-0.99565321,Cluster_3
-0.700811897,0.931144299,Cluster_1
-2.656352524,-1.023868098,Cluster_2
-2.588818057,-0.929197559,Cluster_2
-3.742387887,-0.09685086,Cluster_2
-2.450641415,-2.862419698,Cluster_5
-3.196583255,-3.065241957,Cluster_2
-0.898273398,-2.070987106,Cluster_2
-2.961229806,-3.006951691,Cluster_2
-1.417284174,1.774082006,Cluster_1
-0.520528168,0.78688029,Cluster_2
-2.140294084,2.246972169,Cluster_1
-2.2586353,1.866424971,Cluster_1
-1.909540006,1.396347514,Cluster_1
-1.175167651,1.44804594,Cluster_1
-0.261270636,0.800412881,Cluster_2
-0.471346784,1.57891837,Cluster_1
-0.718791413,0.95897033,Cluster_1
-0.899950511,0.826939539,Cluster_1
-1.944403466,-0.496315847,Cluster_1
-1.886269912,0.519029885,Cluster_1
-0.384330723,-0.029103041,Cluster_2
-2.344873192,0.272951637,Cluster_2
-1.690711735,1.550637913,Cluster_1
-1.036489195,2.133653876,Cluster_1
-2.028489931,-0.363724669,Cluster_2
-1.870527618,0.241124149,Cluster_2
-2.744061024,1.532410969,Cluster_2
-1.288115167,-0.390731858,Cluster_2
-0.839256477,-0.322818307,Cluster_2
0.532243318,1.264755023,Cluster_1
-2.327726419,1.77608579,Cluster_1
-1.022099821,0.040623498,Cluster_2
-1.811709648,0.167223644,Cluster_2
-1.631502591,0.427390875,Cluster_2
-1.966951179,0.175150203,Cluster_2
-1.115123539,0.250166534,Cluster_2
-2.364833627,1.598486376,Cluster_1
-0.788260796,1.910365679,Cluster_1
-0.688902769,-0.677862551,Cluster_5
-1.361816661,-1.105006956,Cluster_5
-1.408141,-0.831928953,Cluster_5
-1.02582458,-1.322604493,Cluster_5
-1.08060552,-1.410699529,Cluster_5
-0.051683865,-2.225346205,Cluster_5
-1.580722176,-1.102802733,Cluster_5
-1.185921507,-1.519133848,Cluster_5
-0.013820689,-2.262225719,Cluster_5
-0.965249327,-0.683305204,Cluster_5
-1.218637498,-1.033452151,Cluster_5
-0.78862665,-0.285547162,Cluster_5
-0.137713709,-1.854448488,Cluster_5
-1.326454508,-2.242162686,Cluster_5
-0.285856997,-1.794559576,Cluster_5
-0.303568657,-0.82136159,Cluster_5
-1.02582458,-1.322604493,Cluster_5
-0.427355314,-0.207234425,Cluster_2
-1.263470414,-1.279544592,Cluster_2
-2.356617654,-2.47554217,Cluster_5
-1.680965987,-0.696553735,Cluster_2
-1.945470502,-1.988120335,Cluster_5
-3.558994852,-3.068581889,Cluster_5
-1.529075893,-0.470115582,Cluster_2
-3.260118343,-3.0298054,Cluster_5
-1.930719761,-2.704097774,Cluster_5
-1.611717243,-0.736156587,Cluster_2
-2.694710779,0.091754612,Cluster_2
-2.592209642,2.310275468,Cluster_2
-0.64589139,1.629173265,Cluster_1
-0.519928654,1.621551262,Cluster_1
0.48203643,1.258034045,Cluster_1
-0.74595898,0.727746651,Cluster_1
-0.931141314,1.535731261,Cluster_2
